2026-05-29 16:23:19 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:23:19 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:23:19 | INFO     | codecompanion.http | → GET /api/health [76d5f902]
2026-05-29 16:23:19 | INFO     | codecompanion.http | ← GET /api/health 200 3.2ms [76d5f902]
2026-05-29 16:23:20 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:23:20 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:23:20 | INFO     | codecompanion.http | → POST /api/login [2de92cf5]
2026-05-29 16:23:20 | INFO     | codecompanion.http | ← POST /api/login 200 210.7ms [2de92cf5]
2026-05-29 16:23:21 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:23:21 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:23:21 | INFO     | codecompanion.http | → POST /api/login [8c21f8a2]
2026-05-29 16:23:21 | INFO     | codecompanion.http | ← POST /api/login 401 200.5ms [8c21f8a2]
2026-05-29 16:23:22 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:23:22 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:23:22 | INFO     | codecompanion.http | → GET /api/me [17527efb]
2026-05-29 16:23:22 | INFO     | codecompanion.http | ← GET /api/me 401 2.0ms [17527efb]
2026-05-29 16:23:23 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:23:23 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:23:23 | INFO     | codecompanion.http | → POST /api/login [b90c5b7d]
2026-05-29 16:23:23 | INFO     | codecompanion.http | ← POST /api/login 200 202.9ms [b90c5b7d]
2026-05-29 16:23:23 | INFO     | codecompanion.http | → GET /api/me [a1d384e8]
2026-05-29 16:23:23 | INFO     | codecompanion.http | ← GET /api/me 200 1.6ms [a1d384e8]
2026-05-29 16:23:24 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:23:24 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:23:24 | INFO     | codecompanion.http | → POST /api/login [02a82cac]
2026-05-29 16:23:24 | INFO     | codecompanion.http | ← POST /api/login 200 200.1ms [02a82cac]
2026-05-29 16:23:24 | INFO     | codecompanion.http | → POST /api/login [befd33c7]
2026-05-29 16:23:24 | INFO     | codecompanion.http | ← POST /api/login 200 203.4ms [befd33c7]
2026-05-29 16:23:24 | INFO     | codecompanion.http | → POST /api/grades [513ed367]
2026-05-29 16:23:24 | INFO     | codecompanion.http | ← POST /api/grades 200 6.5ms [513ed367]
2026-05-29 16:23:24 | INFO     | codecompanion.http | → GET /api/grades [5ba02a01]
2026-05-29 16:23:24 | INFO     | codecompanion.http | ← GET /api/grades 200 2.9ms [5ba02a01]
2026-05-29 16:23:25 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:23:25 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:23:25 | INFO     | codecompanion.http | → POST /api/login [fd78f1f1]
2026-05-29 16:23:25 | INFO     | codecompanion.http | ← POST /api/login 200 204.0ms [fd78f1f1]
2026-05-29 16:23:25 | INFO     | codecompanion.http | → PUT /api/drafts [17992b00]
2026-05-29 16:23:25 | INFO     | codecompanion.http | ← PUT /api/drafts 200 4.1ms [17992b00]
2026-05-29 16:23:25 | INFO     | codecompanion.http | → GET /api/drafts/q1 [830beac0]
2026-05-29 16:23:25 | INFO     | codecompanion.http | ← GET /api/drafts/q1 200 1.9ms [830beac0]
2026-05-29 16:23:26 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:23:26 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:23:26 | INFO     | codecompanion.http | → POST /api/sandbox/execute [8a4771c0]
2026-05-29 16:23:26 | INFO     | codecompanion.http | ← POST /api/sandbox/execute 200 1.6ms [8a4771c0]
2026-05-29 16:25:28 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:25:28 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:25:28 | INFO     | codecompanion.http | → GET /api/health [a94d0369]
2026-05-29 16:25:28 | INFO     | codecompanion.http | ← GET /api/health 200 2.9ms [a94d0369]
2026-05-29 16:25:29 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:25:29 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:25:29 | INFO     | codecompanion.http | → POST /api/login [5ddf4040]
2026-05-29 16:25:29 | INFO     | codecompanion.http | ← POST /api/login 200 267.1ms [5ddf4040]
2026-05-29 16:25:30 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:25:30 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:25:30 | INFO     | codecompanion.http | → POST /api/login [fc694e11]
2026-05-29 16:25:30 | INFO     | codecompanion.http | ← POST /api/login 401 227.5ms [fc694e11]
2026-05-29 16:25:31 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:25:31 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:25:31 | INFO     | codecompanion.http | → GET /api/me [06aeeea1]
2026-05-29 16:25:31 | INFO     | codecompanion.http | ← GET /api/me 401 2.0ms [06aeeea1]
2026-05-29 16:25:32 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:25:32 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:25:32 | INFO     | codecompanion.http | → POST /api/login [056ebc05]
2026-05-29 16:25:32 | INFO     | codecompanion.http | ← POST /api/login 200 208.7ms [056ebc05]
2026-05-29 16:25:32 | INFO     | codecompanion.http | → GET /api/me [173eb184]
2026-05-29 16:25:32 | INFO     | codecompanion.http | ← GET /api/me 200 3.0ms [173eb184]
2026-05-29 16:25:33 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:25:33 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:25:33 | INFO     | codecompanion.http | → POST /api/login [dc9ad742]
2026-05-29 16:25:33 | INFO     | codecompanion.http | ← POST /api/login 200 201.7ms [dc9ad742]
2026-05-29 16:25:33 | INFO     | codecompanion.http | → POST /api/login [c78ab8da]
2026-05-29 16:25:33 | INFO     | codecompanion.http | ← POST /api/login 200 204.4ms [c78ab8da]
2026-05-29 16:25:33 | INFO     | codecompanion.http | → POST /api/grades [7bde0201]
2026-05-29 16:25:33 | INFO     | codecompanion.http | ← POST /api/grades 200 6.9ms [7bde0201]
2026-05-29 16:25:33 | INFO     | codecompanion.http | → GET /api/grades [bd0e8d35]
2026-05-29 16:25:33 | INFO     | codecompanion.http | ← GET /api/grades 200 4.3ms [bd0e8d35]
2026-05-29 16:25:34 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:25:34 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:25:34 | INFO     | codecompanion.http | → POST /api/login [38c23d01]
2026-05-29 16:25:34 | INFO     | codecompanion.http | ← POST /api/login 200 209.3ms [38c23d01]
2026-05-29 16:25:34 | INFO     | codecompanion.http | → PUT /api/drafts [7cd3269c]
2026-05-29 16:25:34 | INFO     | codecompanion.http | ← PUT /api/drafts 200 4.3ms [7cd3269c]
2026-05-29 16:25:34 | INFO     | codecompanion.http | → GET /api/drafts/q1 [c06f22a9]
2026-05-29 16:25:34 | INFO     | codecompanion.http | ← GET /api/drafts/q1 200 1.9ms [c06f22a9]
2026-05-29 16:25:35 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:25:35 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:25:35 | INFO     | codecompanion.http | → POST /api/sandbox/execute [37b06d70]
2026-05-29 16:25:35 | INFO     | codecompanion.http | ← POST /api/sandbox/execute 200 1.6ms [37b06d70]
2026-05-29 16:28:25 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:28:25 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:28:25 | INFO     | codecompanion.http | → GET /api/health [4e96a4dc]
2026-05-29 16:28:25 | INFO     | codecompanion.http | ← GET /api/health 200 2.8ms [4e96a4dc]
2026-05-29 16:28:25 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:28:25 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:28:25 | INFO     | codecompanion.http | → POST /api/login [60201da5]
2026-05-29 16:28:26 | INFO     | codecompanion.http | ← POST /api/login 200 210.3ms [60201da5]
2026-05-29 16:28:27 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:28:27 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:28:27 | INFO     | codecompanion.http | → POST /api/login [ac825d71]
2026-05-29 16:28:27 | INFO     | codecompanion.http | ← POST /api/login 401 201.9ms [ac825d71]
2026-05-29 16:28:28 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:28:28 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:28:28 | INFO     | codecompanion.http | → GET /api/me [352dd264]
2026-05-29 16:28:28 | INFO     | codecompanion.http | ← GET /api/me 401 2.0ms [352dd264]
2026-05-29 16:28:28 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:28:28 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:28:28 | INFO     | codecompanion.http | → POST /api/login [93208067]
2026-05-29 16:28:29 | INFO     | codecompanion.http | ← POST /api/login 200 203.9ms [93208067]
2026-05-29 16:28:29 | INFO     | codecompanion.http | → GET /api/me [d47d5e5e]
2026-05-29 16:28:29 | INFO     | codecompanion.http | ← GET /api/me 200 1.7ms [d47d5e5e]
2026-05-29 16:28:29 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:28:29 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:28:29 | INFO     | codecompanion.http | → POST /api/login [cde5a716]
2026-05-29 16:28:30 | INFO     | codecompanion.http | ← POST /api/login 200 201.8ms [cde5a716]
2026-05-29 16:28:30 | INFO     | codecompanion.http | → POST /api/login [9e1147f7]
2026-05-29 16:28:30 | INFO     | codecompanion.http | ← POST /api/login 200 200.7ms [9e1147f7]
2026-05-29 16:28:30 | INFO     | codecompanion.http | → POST /api/grades [ab3f6824]
2026-05-29 16:28:30 | INFO     | codecompanion.http | ← POST /api/grades 200 6.9ms [ab3f6824]
2026-05-29 16:28:30 | INFO     | codecompanion.http | → GET /api/grades [47adb2d4]
2026-05-29 16:28:30 | INFO     | codecompanion.http | ← GET /api/grades 200 4.5ms [47adb2d4]
2026-05-29 16:28:31 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:28:31 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:28:31 | INFO     | codecompanion.http | → POST /api/login [13df94b2]
2026-05-29 16:28:31 | INFO     | codecompanion.http | ← POST /api/login 200 204.6ms [13df94b2]
2026-05-29 16:28:31 | INFO     | codecompanion.http | → PUT /api/drafts [934f3251]
2026-05-29 16:28:31 | INFO     | codecompanion.http | ← PUT /api/drafts 200 5.4ms [934f3251]
2026-05-29 16:28:31 | INFO     | codecompanion.http | → GET /api/drafts/q1 [da76c3a6]
2026-05-29 16:28:31 | INFO     | codecompanion.http | ← GET /api/drafts/q1 200 2.1ms [da76c3a6]
2026-05-29 16:28:32 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:28:32 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:28:32 | INFO     | codecompanion.http | → POST /api/sandbox/execute [02e7ddbf]
2026-05-29 16:28:32 | INFO     | codecompanion.http | ← POST /api/sandbox/execute 200 1.8ms [02e7ddbf]
2026-05-29 16:29:06 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:29:06 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:29:06 | INFO     | codecompanion.http | → GET /api/health [8fc3e959]
2026-05-29 16:29:06 | INFO     | codecompanion.http | ← GET /api/health 200 2.7ms [8fc3e959]
2026-05-29 16:29:07 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:29:07 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:29:07 | INFO     | codecompanion.http | → POST /api/login [c4d8799d]
2026-05-29 16:29:07 | INFO     | codecompanion.http | ← POST /api/login 200 215.8ms [c4d8799d]
2026-05-29 16:29:08 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:29:08 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:29:08 | INFO     | codecompanion.http | → POST /api/login [1e7e9521]
2026-05-29 16:29:09 | INFO     | codecompanion.http | ← POST /api/login 401 205.5ms [1e7e9521]
2026-05-29 16:29:09 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:29:09 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:29:09 | INFO     | codecompanion.http | → GET /api/me [63341c6f]
2026-05-29 16:29:09 | INFO     | codecompanion.http | ← GET /api/me 401 2.2ms [63341c6f]
2026-05-29 16:29:10 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:29:10 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:29:10 | INFO     | codecompanion.http | → POST /api/login [c617a91a]
2026-05-29 16:29:10 | INFO     | codecompanion.http | ← POST /api/login 200 206.6ms [c617a91a]
2026-05-29 16:29:10 | INFO     | codecompanion.http | → GET /api/me [cc800dfd]
2026-05-29 16:29:10 | INFO     | codecompanion.http | ← GET /api/me 200 1.6ms [cc800dfd]
2026-05-29 16:29:11 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:29:11 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:29:11 | INFO     | codecompanion.http | → POST /api/login [72fedd1c]
2026-05-29 16:29:11 | INFO     | codecompanion.http | ← POST /api/login 200 206.4ms [72fedd1c]
2026-05-29 16:29:11 | INFO     | codecompanion.http | → POST /api/login [554a4ade]
2026-05-29 16:29:12 | INFO     | codecompanion.http | ← POST /api/login 200 203.5ms [554a4ade]
2026-05-29 16:29:12 | INFO     | codecompanion.http | → POST /api/grades [87818cdb]
2026-05-29 16:29:12 | INFO     | codecompanion.http | ← POST /api/grades 200 8.3ms [87818cdb]
2026-05-29 16:29:12 | INFO     | codecompanion.http | → GET /api/grades [f24c344d]
2026-05-29 16:29:12 | INFO     | codecompanion.http | ← GET /api/grades 200 2.9ms [f24c344d]
2026-05-29 16:29:12 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:29:12 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:29:12 | INFO     | codecompanion.http | → POST /api/login [8f96c861]
2026-05-29 16:29:13 | INFO     | codecompanion.http | ← POST /api/login 200 203.9ms [8f96c861]
2026-05-29 16:29:13 | INFO     | codecompanion.http | → PUT /api/drafts [196241ce]
2026-05-29 16:29:13 | INFO     | codecompanion.http | ← PUT /api/drafts 200 4.1ms [196241ce]
2026-05-29 16:29:13 | INFO     | codecompanion.http | → GET /api/drafts/q1 [72180a5e]
2026-05-29 16:29:13 | INFO     | codecompanion.http | ← GET /api/drafts/q1 200 3.6ms [72180a5e]
2026-05-29 16:29:14 | INFO     | codecompanion.main | 数据库已初始化
2026-05-29 16:29:14 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-29 16:29:14 | INFO     | codecompanion.http | → POST /api/sandbox/execute [0480bbd0]
2026-05-29 16:29:14 | INFO     | codecompanion.http | ← POST /api/sandbox/execute 200 2.9ms [0480bbd0]
